"年齢","人","平均値(kcal)","標準偏差(kcal)","パーセンタイル／1(kcal)","パーセンタイル／5(kcal)","パーセンタイル／10(kcal)","パーセンタイル／25(kcal)","パーセンタイル／50(中央値)(kcal)","パーセンタイル／75(kcal)","パーセンタイル／90(kcal)","パーセンタイル／95(kcal)","パーセンタイル／99(kcal)"
"男性総数","205","2011","586","660","1160","1298","1655","1985","2356","2644","2963","3828"
"1～2歳","4","1082","377","643","680","725","862","1096","1315","1426","1464","1493"
"3～5歳","5","1190","230","964","975","988","1030","1177","1228","1423","1488","1540"
"6～7歳","6","1559","346","1231","1243","1259","1316","1438","1766","1981","2041","2089"
"8～9歳","3","1650","54","1592","1598","1605","1626","1662","1679","1690","1693","1696"
"10～11歳","5","2039","351","1586","1641","1710","1917","2061","2096","2366","2456","2528"
"12～14歳","8","2266","595","1374","1541","1750","2005","2214","2415","2928","3143","3316"
"15～17歳","6","2466","541","1973","1996","2025","2102","2349","2588","3022","3231","3398"
"18～29歳","20","2166","535","1439","1504","1626","1817","2154","2398","2623","2711","3613"
"30～49歳","42","1901","522","745","1114","1267","1607","1868","2190","2450","2706","3034"
"50～69歳","60","2152","549","1270","1461","1555","1832","2076","2428","2596","2725","4158"
"70歳以上","46","2007","624","526","991","1277","1704","2002","2334","2890","2963","3350"
"女性総数","228","1703","475","659","928","1102","1423","1724","1947","2232","2430","2830"
"1～2歳","3","1143","50","1101","1104","1107","1116","1132","1165","1185","1191","1197"
"3～5歳","2","1676","431","1378","1402","1433","1524","1676","1829","1920","1950","1975"
"6～7歳","6","1476","356","1187","1207","1231","1301","1385","1436","1812","1994","2140"
"8～9歳","4","1449","109","1308","1326","1347","1412","1461","1497","1540","1554","1566"
"10～11歳","1","1738","0","1738","1738","1738","1738","1738","1738","1738","1738","1738"
"12～14歳","8","1840","272","1461","1491","1529","1662","1828","2039","2182","2184","2186"
"15～17歳","7","2008","361","1579","1647","1731","1847","1928","2080","2382","2549","2682"
"18～29歳","17","1635","571","901","927","1127","1271","1672","1724","2159","2537","3183"
"30～49歳","60","1766","436","861","1057","1173","1520","1777","2036","2348","2483","2643"
"50～69歳","71","1784","488","600","1023","1165","1585","1810","2033","2302","2419","3024"
"70歳以上","49","1550","494","390","883","972","1245","1535","1885","1975","2344","2677"
"(再掲)妊婦","1","2506","0","2506","2506","2506","2506","2506","2506","2506","2506","2506"
"授乳婦","1","1767","0","1767","1767","1767","1767","1767","1767","1767","1767","1767"
